id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
455;1423;5571;Tévenon;22;2224;2213;3;0;1;2;91;2;0;0;9;8;5;0;0;3;15;7;5;[];46.8648032;6.6382256331379;538971.527799565;190720.073872673;14.789802289282;0.73;1.545
546;1534;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
547;1535;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
548;1536;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
513;1485;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
529;1522;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
530;1523;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
672;1682;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
531;1524;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
534;1525;5831;Valbroye;22;2222;2217;1;0;1;2;93;2;0;0;9;6;0;0;0;3;19;8;11;[];46.72472195;6.89195945120646;558208.821189053;174981.687644754;41.2486992715921;0.73;1.545
